2025-02-27 18:47:06,082 - INFO - Detected 12 anomalies:
2025-02-27 23:20:10,768 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:15.958746624, Src IP: 192.168.1.73, Dst IP: 142.250.185.110, Length: 1292
2025-02-27 23:20:10,770 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:15.996317440, Src IP: 192.168.1.73, Dst IP: 142.250.185.110, Length: 1292
2025-02-27 23:20:10,772 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:15.997315840, Src IP: 192.168.1.73, Dst IP: 142.250.185.110, Length: 1292
2025-02-27 23:20:10,773 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.043547392, Src IP: 142.250.185.110, Dst IP: 192.168.1.73, Length: 996
2025-02-27 23:20:10,774 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.277140992, Src IP: 142.250.185.110, Dst IP: 192.168.1.73, Length: 1296
2025-02-27 23:20:10,774 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.349645568, Src IP: 192.168.1.73, Dst IP: 173.194.222.102, Length: 1292
2025-02-27 23:20:10,775 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.379510528, Src IP: 173.194.222.102, Dst IP: 192.168.1.73, Length: 1292
2025-02-27 23:20:10,776 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.380509184, Src IP: 173.194.222.102, Dst IP: 192.168.1.73, Length: 216
2025-02-27 23:20:10,777 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.381510400, Src IP: 192.168.1.73, Dst IP: 173.194.222.102, Length: 1292
2025-02-27 23:20:10,777 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.387071232, Src IP: 192.168.1.73, Dst IP: 173.194.222.102, Length: 1288
2025-02-27 23:20:10,778 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.388061952, Src IP: 192.168.1.73, Dst IP: 173.194.222.102, Length: 1292
2025-02-27 23:20:10,779 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.389056, Src IP: 192.168.1.73, Dst IP: 173.194.222.102, Length: 532
2025-02-27 23:20:10,780 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:16.582940672, Src IP: 173.194.222.102, Dst IP: 192.168.1.73, Length: 609
2025-02-27 23:20:10,781 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:21.965127936, Src IP: 192.168.1.73, Dst IP: 142.250.150.94, Length: 1292
2025-02-27 23:20:10,783 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:21.988933888, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 1292
2025-02-27 23:20:10,784 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:21.990957568, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 239
2025-02-27 23:20:10,785 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:21.997468672, Src IP: 192.168.1.73, Dst IP: 142.250.150.94, Length: 1292
